trade_week,Gate,Regime_accel,scale,持仓数,总仓位(%),换手率(%),主导板块,主导板块权重(%),周收益(%),成本(bps),NAV
2019-01-04,RISK-OFF,OFF,0.0,0,0.0,0.0,—,0.0,0.0,0.0,1.0
2019-01-11,RISK-OFF,OFF,0.0,0,0.0,0.0,—,0.0,0.0,0.0,1.0
2019-01-18,RISK-OFF,OFF,0.0,0,0.0,0.0,—,0.0,0.0,0.0,1.0
2019-01-25,RISK-OFF,OFF,0.0,0,0.0,0.0,—,0.0,0.0,0.0,1.0
2019-02-01,RISK-OFF,OFF,0.0,0,0.0,0.0,—,0.0,0.0,0.0,1.0
2019-02-15,RISK-OFF,OFF,0.0,0,0.0,0.0,—,0.0,0.0,0.0,1.0
2019-02-22,RISK-OFF,OFF,0.0,0,0.0,0.0,—,0.0,0.0,0.0,1.0
2019-03-01,RISK-OFF,OFF,1.0,0,0.0,0.0,—,0.0,0.0,0.0,1.0
2019-03-08,RISK-OFF,OFF,1.0,0,0.0,0.0,—,0.0,0.0,0.0,1.0
2019-03-15,RISK-OFF,OFF,1.0,0,0.0,0.0,—,0.0,0.0,0.0,1.0
2019-03-22,RISK-OFF,OFF,1.0,0,0.0,0.0,—,0.0,0.0,0.0,1.0
2019-03-29,RISK-OFF,OFF,1.0,1,100.0,50.0,周期资源,100.0,0.0,0.0,1.0
2019-04-04,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,0.2998,2.5,1.003
2019-04-12,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,0.0719,0.0,1.0037
2019-04-19,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,-1.33,0.0,0.9904
2019-04-26,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,0.3279,0.0,0.9936
2019-04-30,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,0.0726,0.0,0.9943
2019-05-10,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,1.1248,0.0,1.0055
2019-05-17,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,1.7223,0.0,1.0228
2019-05-24,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,0.0353,0.0,1.0232
2019-05-31,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,0.67,0.0,1.0301
2019-06-06,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,2.9072,0.0,1.06
2019-06-14,RISK-OFF,OFF,1.0,1,100.0,0.0,周期资源,100.0,2.0082,0.0,1.0813
